obs	sector	hdd	choice	conv_year	house_type	constr_year	nb_rooms	nb_pers	own_rent	surface	age	income	op_cost.1	op_cost.2	op_cost.3	op_cost.4	op_cost.5	op_cost.6	op_cost.7	op_cost.8	op_cost.9	fix_cost.1	fix_cost.2	fix_cost.3	fix_cost.4	fix_cost.5	fix_cost.6	fix_cost.7	fix_cost.8	fix_cost.9	cost_inc1	cost_inc2	cost_inc3	cost_inc4	cost_inc5	cost_inc6	cost_inc7	cost_inc8	cost_inc9	avail.1	avail.2	avail.3	avail.4	avail.5	avail.6	avail.7	avail.8	avail.9
1	4	4.359	1	6	2	2	13	4	1	3.25	4.2	7.5	2.394314	2.427016	2.795502	2.689557	3.135337	3.046029	2.592927	1.972943	2.437931	0.893333	0.878495	1.231798	0.99954	0.981712	0.749454	0.396154	0.588943	0.683768	6.7	6.58871	9.238483	7.496548	7.362839	5.620903	2.971155	4.417069	5.128263	1	1	1	1	1	1	1	1	1
2	4	4.359	1	5	2	3	8	4	1	1.25	4.8	2.75	1.613939	1.644761	1.950022	1.850164	2.191547	2.107371	1.768752	1.305417	1.652918	0.637397	0.624494	1.202607	0.989703	0.955905	0.743002	0.308735	0.582491	0.677317	1.752842	1.717358	3.307168	2.721684	2.62874	2.043256	0.8490215	1.60185	1.862621	1	1	1	1	1	1	1	1	1
3	4	4.359	1	8	2	5	8	4	1	3.25	6.2	7.5	1.592456	1.625157	1.951533	1.845589	2.198977	2.10967	1.755019	1.269747	1.633701	1.400686	1.385848	1.228413	0.996155	0.981712	0.749454	0.315187	0.588943	0.683768	10.50515	10.39386	9.213099	7.471163	7.362839	5.620903	2.3639	4.417069	5.128263	1	1	1	1	1	1	1	1	1
4	4	4.359	1	5	2	1	8	4	1	1.75	4.2	7.5	1.480348	1.51305	1.817014	1.711069	2.042141	1.952834	1.630923	1.190449	1.520804	0.884946	0.872043	1.202607	0.989703	0.955905	0.743002	0.308735	0.582491	0.677317	6.637097	6.540323	9.019549	7.422776	7.169291	5.572516	2.315513	4.368682	5.079876	1	1	1	1	1	1	1	1	1
5	4	4.359	1	5	2	8	8	5	1	3.25	7.2	7.5	1.82011	1.84896	2.191487	2.054331	2.458194	2.339955	1.945265	1.446376	1.820543	1.392299	1.379396	1.202607	0.989703	0.955905	0.743002	0.308735	0.582491	0.677317	10.44224	10.34547	9.019549	7.422776	7.169291	5.572516	2.315513	4.368682	5.079876	1	1	1	1	1	1	1	1	1
6	4	4.359	1	6	2	7	8	4	1	2.25	4.2	7.5	1.731011	1.754342	2.052129	1.941212	2.302676	2.207058	1.843138	1.383144	1.72814	1.392299	1.379396	1.202607	0.989703	0.955905	0.743002	0.308735	0.582491	0.677317	10.44224	10.34547	9.019549	7.422776	7.169291	5.572516	2.315513	4.368682	5.079876	1	1	1	1	1	1	1	1	1
7	4	4.359	1	0	2	11	7	4	1	1.75	4.8	7.5	1.747638	1.739032	1.996249	1.873284	2.244323	2.126522	1.708495	1.315577	1.610265	0.637397	0.624494	1.20193	0.989026	0.955905	0.743002	0.292542	0.582491	0.677317	4.780479	4.683705	9.014473	7.417698	7.169291	5.572516	2.194062	4.368682	5.079876	1	1	1	1	1	1	1	1	1
8	4	4.359	1	5	2	6	10	2	1	2.25	3.8	3.75	1.65764	1.669932	1.940315	1.881878	2.207319	2.156942	1.765455	1.270615	1.641745	0.637397	0.624494	1.203961	0.991057	0.955905	0.743002	0.341122	0.582491	0.677317	2.39024	2.341852	4.514852	3.716465	3.584646	2.786258	1.279208	2.184341	2.539938	1	1	1	1	1	1	1	1	1
9	4	4.359	1	6	2	4	12	4	1	2.25	4.2	7.5	2.100363	2.133064	2.509319	2.403374	2.828482	2.739175	2.295517	1.688456	2.143752	1.379396	1.366493	1.10854	0.979508	0.859131	0.730099	0.360606	0.569588	0.664414	10.34547	10.2487	8.314052	7.34631	6.443484	5.475742	2.704543	4.271908	4.983102	1	1	1	1	1	1	1	1	1
10	4	4.359	1	6	2	4	5	3	1	1.75	6.2	4.5	1.370004	1.394969	1.631844	1.550963	1.826928	1.758749	1.492471	1.128121	1.401384	1.392299	1.379396	1.200576	0.987673	0.955905	0.743002	0.260155	0.582491	0.677317	6.265347	6.207282	5.402591	4.444527	4.301574	3.34351	1.170696	2.621209	3.047926	1	1	1	1	1	1	1	1	1
11	4	4.359	1	6	2	7	4	1	1	1.75	4.8	2.25	0.990565	0.996084	1.125417	1.099177	1.270796	1.248176	1.04553	0.789385	0.981494	0.884946	0.872043	1.199899	0.986996	0.955905	0.743002	0.243961	0.582491	0.677317	1.991129	1.962097	2.699773	2.22074	2.150787	1.671755	0.5489127	1.310605	1.523963	1	1	1	1	1	1	1	1	1
12	4	4.604	1	7	3	7	6	5	1	1.25	4.8	4.5	1.588548	1.616111	1.916637	1.775266	2.161212	2.037623	1.692975	1.127653	1.551644	1.392299	1.379396	1.201253	0.98835	0.955905	0.743002	0.276348	0.582491	0.677317	6.265347	6.207282	5.405637	4.447573	4.301574	3.34351	1.243567	2.621209	3.047926	1	1	1	1	1	1	1	1	1
13	4	4.604	1	8	3	6	7	3	1	1.25	3.8	7.5	1.460484	1.476827	1.722893	1.639067	1.964757	1.891474	1.552439	0.996324	1.41341	1.392299	1.379396	1.20193	0.989026	0.955905	0.743002	0.292542	0.582491	0.677317	10.44224	10.34547	9.014473	7.417698	7.169291	5.572516	2.194062	4.368682	5.079876	1	1	1	1	1	1	1	1	1
14	4	4.604	1	8	2	4	9	4	1	2.25	4.8	7.5	1.770584	1.801035	2.150706	2.042709	2.460227	2.367633	1.941258	1.192044	1.753955	1.392299	1.379396	1.203284	0.99038	0.955905	0.743002	0.324929	0.582491	0.677317	10.44224	10.34547	9.024627	7.427853	7.169291	5.572516	2.436964	4.368682	5.079876	1	1	1	1	1	1	1	1	1
15	4	4.604	1	7	2	6	9	3	2	1.25	5.3	7.5	1.586114	1.602458	1.903035	1.819208	2.19705	2.123767	1.69752	0.998351	1.522728	1.392299	1.379396	1.203284	0.99038	0.955905	0.743002	0.324929	0.582491	0.677317	10.44224	10.34547	9.024627	7.427853	7.169291	5.572516	2.436964	4.368682	5.079876	1	1	1	1	1	1	1	1	1
16	4	4.604	1	5	2	3	8	2	1	2.25	5.8	7.5	1.582422	1.595421	1.851992	1.805891	2.130832	2.091306	1.718143	1.062434	1.554216	0.637397	0.624494	1.202607	0.989703	0.955905	0.743002	0.308735	0.582491	0.677317	4.780479	4.683705	9.019549	7.422776	7.169291	5.572516	2.315513	4.368682	5.079876	1	1	1	1	1	1	1	1	1
17	4	4.604	1	8	2	4	8	3	1	1.75	5.8	7.5	1.564889	1.587559	1.88776	1.80736	2.167229	2.098296	1.713957	1.038608	1.54512	1.392299	1.379396	1.202607	0.989703	0.955905	0.743002	0.308735	0.582491	0.677317	10.44224	10.34547	9.019549	7.422776	7.169291	5.572516	2.315513	4.368682	5.079876	1	1	1	1	1	1	1	1	1
18	3	5.026	1	5	2	3	7	2	1	1.25	6.2	2.75	1.33123	1.347936	1.616723	1.555699	1.914576	1.861341	1.470569	0.910143	1.330462	0.637397	0.624494	1.20193	0.989026	0.955905	0.743002	0.292542	0.582491	0.677317	1.752842	1.717358	3.305307	2.719823	2.62874	2.043256	0.8044894	1.60185	1.862621	1	1	1	1	1	1	1	1	1
19	1	4.62	1	0	2	10	7	3	1	1.75	5.3	7.5	1.109093	1.180398	1.740008	1.641024	2.056351	1.968043	1.532269	0.938447	1.383814	0.637397	0.624494	1.20193	0.989026	0.955905	0.743002	0.292542	0.582491	0.677317	4.780479	4.683705	9.014473	7.417698	7.169291	5.572516	2.194062	4.368682	5.079876	1	1	1	1	1	1	1	1	1
20	1	4.62	1	7	2	5	8	4	1	1.75	4.2	7.5	1.302877	1.398692	2.04646	1.926069	2.401432	2.295488	1.824578	1.146261	1.654999	0.637397	0.624494	1.202607	0.989703	0.955905	0.743002	0.308735	0.582491	0.677317	4.780479	4.683705	9.019549	7.422776	7.169291	5.572516	2.315513	4.368682	5.079876	1	1	1	1	1	1	1	1	1
21	2	4.993	1	5	2	1	7	4	1	1.25	3.2	2.25	1.601831	1.634938	1.9114	1.810133	2.144302	2.058791	1.753237	1.170597	1.607577	0.872043	0.85914	1.105156	0.976123	0.859131	0.730099	0.279638	0.569588	0.664414	1.962097	1.933064	2.4866	2.196277	1.933045	1.642723	0.6291864	1.281572	1.494931	1	1	1	1	1	1	1	1	1
22	2	4.993	1	5	2	1	10	3	1	2.25	7.2	4.5	1.685225	1.709872	2.04042	1.96503	2.331397	2.267737	1.865574	1.098717	1.67386	0.893333	0.878495	1.229767	0.997509	0.981712	0.749454	0.347574	0.588943	0.683768	4.02	3.953226	5.533951	4.48879	4.417704	3.372542	1.564081	2.650241	3.076958	1	1	1	1	1	1	1	1	1
23	2	4.993	1	5	2	5	5	2	1	2.25	5.8	1.75	1.190002	1.206188	1.40278	1.353269	1.589098	1.54729	1.301391	0.832504	1.184169	0.884946	0.872043	1.200576	0.987673	0.955905	0.743002	0.260155	0.582491	0.677317	1.548656	1.526075	2.101008	1.728427	1.672835	1.300254	0.4552707	1.019359	1.185305	1	1	1	1	1	1	1	1	1
24	1	5.689	1	5	2	2	4	2	1	0.8	5.8	5.5	0.832048	0.864065	1.193233	1.144743	1.433946	1.391278	1.090076	0.685267	0.988874	0.624494	0.611591	1.103125	0.974092	0.859131	0.730099	0.231058	0.569588	0.664414	3.434717	3.363749	6.067186	5.357508	4.725222	4.015544	1.270819	3.132732	3.654275	1	1	1	1	1	1	1	1	1
25	1	5.689	1	7	2	2	8	5	2	3.25	4.8	7.5	1.493037	1.607957	2.315621	2.141573	2.76019	2.607037	2.036253	1.269132	1.844472	0.645784	0.630946	1.228413	0.996155	0.981712	0.749454	0.315187	0.588943	0.683768	4.843382	4.732092	9.213099	7.471163	7.362839	5.620903	2.3639	4.417069	5.128263	1	1	1	1	1	1	1	1	1
26	1	5.689	1	0	2	10	5	4	1	1.25	3.8	4.5	1.279951	1.364754	1.823241	1.680899	2.127836	2.001251	1.620099	1.129133	1.497358	0.624494	0.611591	1.103802	0.974769	0.859131	0.730099	0.247251	0.569588	0.664414	2.810223	2.752158	4.967107	4.386462	3.866091	3.285445	1.112632	2.563145	2.989861	1	1	1	1	1	1	1	1	1
27	1	5.435	1	5	2	3	5	3	1	1.25	6.8	3.75	1.107071	1.128612	1.369352	1.290905	1.614744	1.54605	1.228261	0.770666	1.113863	0.884946	0.872043	1.200576	0.987673	0.955905	0.743002	0.260155	0.582491	0.677317	3.318548	3.270161	4.502159	3.703772	3.584646	2.786258	0.97558	2.184341	2.539938	1	1	1	1	1	1	1	1	1
28	1	5.53	3	5	2	4	8	2	1	0.8	6.2	1.75	0	0	1.392864	1.709856	2.200515	2.146487	1.607589	0.934147	1.439228	0	0	0.95389	0.721632	0.981712	0.749454	0.315187	0.588943	0.683768	0	0	1.669307	1.262856	1.717996	1.311544	0.5515767	1.030649	1.196595	0	0	1	1	1	1	1	1	1
29	4	4.359	3	7	2	3	7	4	1	1.75	5.3	7.5	0	0	1.523962	1.78472	2.111665	2.027488	1.712845	1.282318	1.605214	0	0	1.618106	1.385848	0.981712	0.749454	0.298993	0.588943	0.683768	0	0	12.13579	10.39386	7.362839	5.620903	2.242449	4.417069	5.128263	0	0	1	1	1	1	1	1	1
30	4	4.359	3	8	3	3	7	3	1	0.8	8.4	7.5	1.377854	1.400485	1.654377	1.581056	1.865096	1.80329	1.508447	1.105011	1.407588	0.880752	0.865913	1.618106	1.385848	0.981712	0.749454	0.298993	0.588943	0.683768	6.605637	6.494347	12.13579	10.39386	7.362839	5.620903	2.242449	4.417069	5.128263	1	1	1	1	1	1	1	1	1
31	4	4.359	3	5	2	3	6	2	1	1.25	6.8	4.5	0	0	1.216436	1.483092	1.728806	1.686884	1.420804	1.056724	1.329784	0	0	0.928083	0.71518	0.955905	0.743002	0.276348	0.582491	0.677317	0	0	4.176376	3.218311	4.301574	3.34351	1.243567	2.621209	3.047926	0	0	1	1	1	1	1	1	1
32	4	4.359	3	5	2	3	9	4	1	3.25	3.8	7.5	0	0	1.723466	2.036679	2.408169	2.318862	1.948247	1.441132	1.821468	0	0	1.618106	1.385848	0.981712	0.749454	0.33138	0.588943	0.683768	0	0	12.13579	10.39386	7.362839	5.620903	2.485351	4.417069	5.128263	0	0	1	1	1	1	1	1	1
33	4	4.359	3	6	2	3	9	6	1	1.75	5.8	4.5	0	0	1.886296	2.153683	2.583964	2.452402	2.059765	1.522516	1.925453	0	0	0.928083	0.71518	0.955905	0.743002	0.324929	0.582491	0.677317	0	0	4.176376	3.218311	4.301574	3.34351	1.462178	2.621209	3.047926	0	0	1	1	1	1	1	1	1
34	4	4.359	3	6	2	3	8	4	1	2.25	6.8	7.5	0	0	1.622703	1.906934	2.261466	2.172159	1.822867	1.344927	1.703382	0	0	1.618106	1.385848	0.981712	0.749454	0.315187	0.588943	0.683768	0	0	12.13579	10.39386	7.362839	5.620903	2.3639	4.417069	5.128263	0	0	1	1	1	1	1	1	1
35	4	4.359	3	7	2	6	8	4	1	3.25	5.3	7.5	0	0	1.815935	2.119434	2.499419	2.403801	2.019601	1.533972	1.898194	0	0	1.618106	1.385848	0.981712	0.749454	0.315187	0.588943	0.683768	0	0	12.13579	10.39386	7.362839	5.620903	2.3639	4.417069	5.128263	0	0	1	1	1	1	1	1	1
36	4	4.359	3	8	2	6	18	4	1	2.25	3.8	7.5	0	0	3.119947	3.00903	3.556625	3.461007	2.807907	1.982389	2.601528	0	0	1.618106	1.385848	0.981712	0.749454	0.477121	0.588943	0.683768	0	0	12.13579	10.39386	7.362839	5.620903	3.57841	4.417069	5.128263	0	0	1	1	1	1	1	1	1
37	4	4.359	3	7	2	6	7	4	1	3.25	4.8	5.5	1.561832	1.583498	1.520142	1.764771	2.101662	2.012868	1.667715	1.231442	1.558647	0.872365	0.859461	0.928083	0.71518	0.955905	0.743002	0.292542	0.582491	0.677317	4.798005	4.727037	5.104459	3.933491	5.25748	4.086512	1.608979	3.2037	3.725243	1	1	1	1	1	1	1	1	1
38	4	4.359	3	5	2	3	8	2	1	1.75	5.8	2.25	0	0	1.313802	1.627007	1.906094	1.865416	1.540178	1.095151	1.428921	0	0	0.95389	0.721632	0.981712	0.749454	0.315187	0.588943	0.683768	0	0	2.146252	1.623672	2.208852	1.686271	0.7091701	1.325121	1.538479	0	0	1	1	1	1	1	1	1
