iter	Passed	Remaining
0	1212	1211040
1	2864	1429262
2	3928	1305408
3	4664	1161362
4	5646	1123715
5	6612	1095458
6	7758	1100623
7	8552	1060554
8	9560	1052767
9	10820	1071198
10	12048	1083293
11	13218	1088342
12	14216	1079340
13	15149	1066939
14	16205	1064148
15	17228	1059577
16	18260	1055867
17	19185	1046650
18	20052	1035351
19	20871	1022702
20	21845	1018437
21	23106	1027207
22	24146	1025681
23	24916	1013259
24	26028	1015096
25	27428	1027528
26	28508	1027369
27	29278	1016386
28	30636	1025794
29	31521	1019185
30	32560	1017773
31	33387	1009966
32	34991	1025346
33	35867	1019053
34	36808	1014866
35	37488	1003845
36	38699	1007240
37	39739	1006033
38	40803	1005449
39	41999	1007994
40	42850	1002286
41	43849	1000194
