iter	F1	Logloss
0	0	0.6901906225
1	0	0.6870650478
2	0	0.683914976
3	0	0.6814491324
4	0	0.6784461918
5	0	0.6756525029
6	0	0.6732710841
7	0	0.6701483267
8	0	0.6678222593
9	0	0.6650560312
10	0	0.6621785276
11	0	0.6599375234
12	0	0.6570111894
13	0	0.6542980879
14	0	0.6517299391
15	0	0.6490241921
16	0	0.6464366178
17	0	0.643807865
18	0	0.6417424205
19	0	0.6392346169
20	0	0.6372163164
21	0	0.6352203129
22	0	0.6328093841
23	0	0.6308589522
24	0	0.6283957405
25	0	0.6264936843
26	0	0.6240081115
27	0	0.6221466183
28	0	0.6198627774
29	0	0.6174981171
30	0	0.6153172914
31	0	0.6135486927
32	0	0.6113117842
33	0	0.6089717795
34	0	0.6069149064
35	0	0.604666653
36	0	0.6029954075
37	0	0.6013420438
38	0	0.5993618977
39	0	0.5977051877
40	0	0.595678635
41	0	0.5941024065
42	0	0.5924809997
43	0	0.5909400323
44	0	0.5894137263
45	0	0.5874253852
46	0	0.5855948817
47	0	0.5837204589
48	0	0.5819309901
49	0	0.5800314425
50	0	0.5782343799
51	0	0.5765277574
52	0	0.5751194435
53	0	0.5733109413
54	0	0.5716406936
55	0	0.5699239099
56	0	0.5685621789
57	0	0.5669670727
58	0	0.565675465
59	0	0.5643990639
60	0	0.5627874657
61	0	0.5614934658
62	0	0.5598359051
63	0	0.5581514302
64	0	0.5568978013
65	0	0.5554230695
66	0	0.5539629217
67	0	0.5523984123
68	0	0.5508470617
69	0	0.5497130334
70	0	0.5485965822
71	0	0.5474884791
72	0	0.5460434428
73	0	0.5446420708
74	0	0.5431404529
75	0	0.5416835729
76	0	0.540290361
77	0	0.5392583662
78	0	0.5382383498
79	0	0.5367740828
80	0	0.535472442
81	0	0.534382335
82	0	0.5334085862
83	0	0.5323365572
84	0	0.5313435038
85	0	0.5303525904
86	0	0.5294217621
87	0	0.5281171357
88	0	0.5272078455
89	0	0.5259477269
90	0	0.524637158
91	0	0.5236565405
92	0	0.5227895808
93	0	0.5216268277
94	0	0.5207798436
95	0	0.5196874397
96	0	0.5185049993
97	0	0.5174005494
98	0	0.5162601121
99	0	0.5154619264
100	0	0.5145769685
101	0	0.513523529
102	0	0.512662221
103	0	0.5118321494
104	0	0.5109441459
105	0	0.5099982736
106	0	0.5092219901
107	0	0.5084902845
108	0	0.507457057
109	0	0.5067322725
110	0	0.5060154234
111	0	0.5050210666
112	0	0.5043336675
113	0	0.5031297449
114	0	0.5024506148
115	0	0.5013810991
116	0	0.5007262765
117	0	0.5000786447
118	0	0.499114628
119	0	0.4982798245
120	0	0.497654894
121	0	0.4970367877
122	0	0.4964250594
123	0	0.4956361603
124	0	0.4945674197
125	0	0.493662474
126	0	0.4929522524
127	0	0.4920640049
128	0	0.4912609522
129	0	0.4903967434
130	0	0.4898411488
131	0	0.4892138538
132	0	0.4886455757
133	0	0.4877893608
134	0	0.4870287379
135	0	0.4861102706
136	0	0.4852684577
137	0	0.4845284001
138	0	0.4840226261
139	0	0.4835223721
140	0	0.4827641123
141	0	0.4820797953
142	0	0.4815967061
143	0	0.4811188996
144	0	0.4804308024
145	0	0.4796168421
146	0	0.4791248756
147	0	0.4786688554
148	0	0.4781628122
149	0	0.4775474171
150	0	0.4769191877
151	0	0.4762703668
152	0	0.4758350863
153	0	0.4753445219
154	0	0.4745325084
155	0	0.4737845702
156	0	0.4733745211
157	0	0.4727291238
158	0	0.4722649988
159	0	0.4716301578
160	0	0.4712253867
161	0	0.4705365734
162	0	0.4699322603
163	0	0.4693020469
164	0	0.4689287009
165	0	0.4683321912
166	0	0.467964251
167	0	0.4674639378
168	0	0.467072585
169	0	0.4666846588
170	0	0.4660978534
171	0	0.465501583
172	0	0.4649534847
173	0	0.4644288667
174	0	0.4638612956
175	0	0.4632224556
176	0	0.462892978
177	0	0.4624147927
178	0	0.4620934562
179	0	0.4615753935
180	0	0.4611309408
181	0	0.4605448583
182	0	0.4602288851
183	0	0.4599297151
184	0	0.459353844
185	0	0.4588482423
186	0	0.458559324
187	0	0.4582500464
188	0	0.4579625245
189	0	0.4576827315
190	0	0.4572510508
191	0	0.4569774177
192	0	0.4567067227
193	0	0.456236397
194	0	0.4556176726
195	0	0.4553546299
196	0	0.4548794633
197	0	0.4546241414
198	0	0.4541053632
199	0	0.4538152544
200	0	0.4535681413
201	0	0.4531465022
202	0	0.4527571811
203	0	0.4523534807
204	0	0.4516916579
205	0	0.4512353499
206	0	0.4507828318
207	0	0.4503314865
208	0	0.4499756682
209	0	0.4497544843
210	0	0.4492430948
211	0	0.4488901616
212	0	0.4486634473
213	0	0.4484520782
214	0	0.4479554834
215	0	0.4477079099
216	0	0.447282448
217	0	0.4470806278
218	0	0.4468809571
219	0	0.4466792192
220	0	0.4464838587
221	0	0.446117827
222	0	0.4457331982
223	0	0.4454152661
224	0	0.4452247889
225	0	0.4448832037
226	0	0.4446462966
227	0	0.4441694946
228	0	0.4438762083
229	0	0.4435843693
230	0	0.4432750837
231	0	0.4430852605
232	0	0.4429151252
233	0	0.4426178236
234	0	0.4423332957
235	0	0.4421687031
236	0	0.4418507397
237	0	0.4414884733
238	0	0.4411797662
239	0	0.4408187074
240	0	0.4406634281
241	0	0.4404966478
242	0	0.4403446534
243	0	0.4400982287
244	0	0.4398632234
245	0	0.4394816917
246	0	0.4392154829
247	0	0.4388761506
248	0	0.4387315117
249	0	0.4384176558
250	0	0.4382791426
251	0	0.4381396999
252	0	0.4378575045
253	0	0.4376300324
254	0	0.4374975108
255	0	0.4372486613
256	0	0.4370220155
257	0	0.4368904689
258	0	0.4367637113
259	0	0.4366383752
260	0	0.4363375284
261	0	0.4360285418
262	0	0.4357913914
263	0	0.435671695
264	0	0.4355533034
265	0	0.4354360727
266	0	0.4353200748
267	0	0.4351540546
268	0	0.4349328134
269	0	0.4347929048
270	0	0.4346784853
271	0	0.4343328902
272	0	0.4340379631
273	0	0.4339272887
274	0	0.4338206023
275	0	0.4336442539
276	0	0.4335402507
277	0	0.4332637018
278	0	0.4331620037
279	0	0.4328954561
280	0	0.4327091364
281	0	0.4325926009
282	0	0.4324933468
283	0	0.4322593021
284	0	0.4320616276
285	0	0.4319677247
286	0	0.4315783535
287	0	0.4313815746
288	0	0.4312211768
289	0	0.4308772798
290	0	0.4307145657
291	0	0.4304310193
292	0	0.4301632088
293	0	0.4299719105
294	0	0.4296325518
295	0	0.429473183
296	0	0.4293457073
297	0	0.4291563141
298	0	0.4288775687
299	0	0.4287978407
300	0	0.4286383212
301	0	0.4284371251
302	0	0.4282615787
303	0	0.4280260674
304	0	0.4279479958
305	0	0.427873403
306	0	0.427617837
307	0	0.4274192001
308	0	0.4271490689
309	0	0.4270762105
310	0	0.4269398642
311	0	0.426646707
312	0	0.4263864946
313	0	0.4261881292
314	0	0.426120937
315	0	0.4259887116
316	0	0.4257183857
317	0	0.4255494407
318	0	0.4252919269
319	0	0.4252284458
320	0	0.4251656217
321	0	0.4248663608
322	0	0.4246515843
323	0	0.4243420058
324	0	0.4242820877
325	0	0.4240094884
326	0	0.4237159406
327	0	0.4236581638
328	0	0.4233718252
329	0	0.4233153705
330	0	0.4231706079
331	0	0.4227834313
332	0	0.4226426089
333	0	0.4225888541
334	0	0.4223070919
335	0	0.4221537943
336	0	0.4219575445
337	0	0.4218143198
338	0	0.4217217513
339	0	0.4216716837
340	0	0.4213485524
341	0	0.4212996623
342	0	0.4211322554
343	0	0.4208754242
344	0	0.4208282504
345	0	0.4207812695
346	0	0.4206259387
347	0	0.420417556
348	0	0.4203725014
349	0	0.4203281753
350	0	0.4201708697
351	0	0.4199891472
352	0	0.4197598098
353	0	0.4194822784
354	0	0.4194403138
355	0	0.4193987821
356	0	0.4192524152
357	0	0.4190840284
358	0	0.4187065774
359	0	0.4186036962
360	0	0.4183594299
361	0	0.4183208312
362	0	0.4182826302
363	0	0.4181439242
364	0	0.4180199968
365	0	0.4179830173
366	0	0.4179464111
367	0	0.4177732619
368	0	0.4175515834
369	0	0.4173656888
370	0	0.4171765784
371	0	0.4170720214
372	0	0.4169071253
373	0	0.4167989
374	0	0.4167198492
375	0	0.4165690313
376	0	0.4164347781
377	0	0.4162880178
378	0	0.4162561541
379	0	0.4161436294
380	0	0.4159073731
381	0	0.4158604566
382	0	0.4156753514
383	0	0.4156292112
384	0	0.4154593006
385	0	0.4153097266
386	0	0.4152600664
387	0	0.4151094191
388	0	0.4149947513
389	0	0.4148323231
390	0	0.4147744654
391	0	0.4146483718
392	0	0.4145562294
393	0	0.4144899771
394	0	0.4142871412
395	0	0.414154714
396	0	0.4141107918
397	0	0.4138894018
398	0	0.4137066017
399	0	0.4135375678
400	0	0.4135129881
401	0	0.41348866
402	0	0.4133824632
403	0	0.4133586764
404	0	0.4133316333
405	0	0.4132812747
406	0	0.4132582107
407	0	0.4132353923
408	0	0.4130486285
409	0	0.4129809074
410	0	0.4129340557
411	0	0.4127523256
412	0	0.4127003054
413	0	0.4126790956
414	0	0.4125904979
415	0	0.4124646307
416	0	0.4122287426
417	0	0.4121931037
418	0	0.4120922243
419	0	0.4119091753
420	0	0.4117722186
421	0	0.4115941573
422	0	0.4114922179
423	0	0.4114402924
424	0	0.4112894887
425	0	0.4110583867
426	0	0.4109009304
427	0	0.4107828397
428	0	0.410710096
429	0	0.410691505
430	0	0.4106740742
431	0	0.4104974471
432	0	0.4104007042
433	0	0.4103838406
434	0	0.4102901971
435	0	0.4101639986
436	0	0.4100634841
437	0	0.4099322596
438	0	0.40985571
439	0	0.4097683424
440	0	0.409654298
441	0	0.4095555417
442	0	0.4094218631
443	0	0.4093605803
444	0	0.4092360523
445	0	0.4091880749
446	0	0.4091734878
447	0	0.4091590899
448	0	0.409086579
449	0	0.4089409593
450	0	0.408832982
451	0	0.4088192618
452	0	0.4087450517
453	0	0.4086693598
454	0	0.4086347217
455	0	0.4086216215
456	0	0.4083619527
457	0	0.4083057705
458	0	0.4082764421
459	0	0.4080927297
460	0	0.407949515
461	0	0.407763495
462	0	0.407676298
463	0	0.4075024747
464	0	0.4074511236
465	0	0.4072694948
466	0	0.407089547
467	0	0.4069543276
468	0	0.4069053787
469	0	0.4066668435
470	0	0.4066560439
471	0	0.4065261809
472	0	0.4064866037
473	0	0.4064155883
474	0	0.4063949393
475	0	0.4062930709
476	0	0.4061947768
477	0	0.4060163098
478	0	0.4060024235
479	0	0.4058379115
480	0	0.4057913282
481	0	0.4057054179
482	0	0.4056814728
483	0	0.4054470768
484	0	0.4053367447
485	0	0.405085216
486	0	0.4050497413
487	0	0.4049105808
488	0	0.4048361613
489	0	0.4047534037
490	0	0.4047304489
491	0	0.4047219773
492	0	0.4046518094
493	0	0.4045451909
494	0	0.4043198338
495	0	0.4043118436
496	0	0.4042943916
497	0	0.4040719461
498	0	0.403999364
499	0	0.403991723
500	0	0.4039738495
501	0	0.4039168035
502	0	0.4038953938
503	0	0.4038779895
504	0	0.4038707564
505	0	0.4037745318
506	0	0.4036825567
507	0	0.4036488233
508	0	0.4036419031
509	0	0.4035790692
510	0	0.4035137355
511	0	0.4034539602
512	0	0.403354079
513	0	0.403284583
514	0	0.403209622
515	0	0.4031363887
516	0	0.403127699
517	0	0.4029376461
518	0	0.4028835346
519	0	0.4028774272
520	0	0.4027963769
521	0	0.4026433409
522	0	0.4025263479
523	0	0.4025121535
524	0	0.4023746732
525	0	0.402323069
526	0	0.4022662407
527	0	0.4021388629
528	0	0.4020742841
529	0	0.4019331727
530	0	0.4018983518
531	0	0.4017534161
532	0	0.4017245771
533	0	0.4017194606
534	0	0.4016240355
535	0	0.4015662144
536	0	0.4014367306
537	0	0.4012730187
538	0	0.4011232987
539	0	0.4010359899
540	0	0.400949533
541	0	0.4009449145
542	0	0.4009345359
543	0	0.4008719632
544	0	0.4007378152
545	0	0.4004730596
546	0	0.40046762
547	0	0.4002884489
548	0	0.4001559015
549	0	0.4000971568
550	0	0.4000215347
551	0	0.3999631389
552	0	0.3999134734
553	0	0.3996931382
554	0	0.3995841538
555	0	0.3995803164
556	0	0.3995045874
557	0	0.3994586873
558	0	0.3994459247
559	0	0.3992696235
560	0	0.3991836974
561	0	0.3991675094
562	0	0.3991639873
563	0	0.3990244599
564	0	0.3988693713
565	0	0.3987903152
566	0	0.3987384672
567	0	0.3987271276
568	0	0.3986093313
569	0	0.3985011498
570	0	0.3984851198
571	0	0.3983666878
572	0	0.3983395204
573	0	0.3983276579
574	0	0.3982155157
575	0	0.3980254482
576	0	0.3978577406
577	0	0.3977329995
578	0	0.3977154741
579	0	0.3976082006
580	0	0.3975783756
581	0	0.3975402813
582	0	0.3974720373
583	0	0.3974693579
584	0	0.3974667055
585	0	0.3973758898
586	0	0.3972257833
587	0	0.3971385866
588	0	0.3970010654
589	0	0.3969179149
590	0	0.3969129653
591	0	0.3968802524
592	0	0.3967717965
593	0	0.3966627745
594	0	0.3966570211
595	0	0.3965876639
596	0	0.3965376605
597	0	0.3964709257
598	0	0.3963399578
599	0	0.3962644177
600	0	0.3961123683
601	0	0.3960108045
602	0	0.3959572792
603	0	0.3959278794
604	0	0.3958919369
605	0	0.3957886937
606	0	0.3956371148
607	0	0.3954943127
608	0	0.3953406582
609	0	0.3952436822
610	0	0.3950530391
611	0	0.3950511859
612	0	0.3950309774
613	0	0.3950291635
614	0	0.3949824023
615	0	0.3949043806
616	0	0.3948729572
617	0	0.3947251649
618	0	0.3946167554
619	0	0.3945163501
620	0	0.3944747834
621	0	0.3943823925
622	0	0.3942316232
623	0	0.3941665118
624	0	0.3940336021
625	0	0.3938793419
626	0	0.3938778258
627	0	0.3937006776
628	0	0.3936645086
629	0	0.3936630542
630	0	0.3935609922
631	0	0.393512636
632	0	0.3934718864
633	0	0.3934705002
634	0	0.3934300718
635	0	0.3934208225
636	0	0.3933779971
637	0	0.3933332571
638	0	0.3931613208
639	0	0.3931275983
640	0	0.3930181513
641	0	0.3929201175
642	0	0.3928540809
643	0	0.3928528683
644	0	0.3928068753
645	0	0.392781175
646	0	0.3925346016
647	0	0.3925334658
648	0	0.3924390863
649	0	0.3923843668
650	0	0.3922597498
651	0	0.3922489698
652	0	0.3922119955
653	0	0.3922109366
654	0	0.3919391248
655	0	0.3917405869
656	0	0.3917065719
657	0	0.3917055979
658	0	0.3917046336
659	0	0.3917013489
660	0	0.3916645333
661	0	0.3915985865
662	0	0.3915585317
663	0	0.3913985582
664	0	0.3913150192
665	0	0.3912473626
666	0	0.3912464887
667	0	0.3912456273
668	0	0.3911372923
669	0	0.3911364536
670	0	0.3911356233
671	0	0.3910180339
672	0	0.3910047428
673	0	0.3909010549
674	0	0.390778184
675	0	0.3907371681
676	0	0.3905906566
677	0	0.3904240189
678	0	0.3903386316
679	0	0.3902671686
680	0	0.3901133282
681	0	0.3900714153
682	0	0.3900707303
683	0	0.3900535559
684	0	0.3900233274
685	0	0.3899174983
686	0	0.3898366228
687	0	0.3897638419
688	0	0.3897561405
689	0	0.3896658478
690	0	0.3896499763
691	0	0.3896210825
692	0	0.3895370841
693	0	0.3893897631
694	0	0.3892786797
695	0	0.3891559754
696	0	0.3890075116
697	0	0.3888851506
698	0	0.3888846315
699	0	0.3888405528
700	0.03448275862	0.3887017056
701	0.03448275862	0.3886656283
702	0.03448275862	0.3886237811
703	0.03448275862	0.3886142298
704	0.03448275862	0.3885508999
705	0.03448275862	0.3884131491
706	0.03448275862	0.3883625953
707	0.03448275862	0.3882388269
708	0.03448275862	0.3881510936
709	0.03448275862	0.3880706249
710	0.03448275862	0.3879612292
711	0.03448275862	0.3879027385
712	0.03448275862	0.3878891563
713	0.03448275862	0.387882579
714	0.03448275862	0.3877668591
715	0.03448275862	0.3876346602
716	0.03448275862	0.387607353
717	0.03448275862	0.3875544201
718	0.03448275862	0.3875456618
719	0.03448275862	0.3874995487
720	0.03448275862	0.3874651277
721	0.03448275862	0.3874643811
722	0.03448275862	0.3873738284
723	0.03448275862	0.3872610372
724	0.03448275862	0.3872388129
725	0.03448275862	0.3872384425
726	0.03448275862	0.3872013178
727	0.03448275862	0.3871403886
728	0.03448275862	0.3870339088
729	0.03448275862	0.3870173374
730	0.03448275862	0.3869520844
731	0.03448275862	0.3869517683
732	0.03448275862	0.386942854
733	0.03448275862	0.3868339351
734	0.03448275862	0.3867153659
735	0.03448275862	0.3866909996
736	0.03448275862	0.3865955602
737	0.03448275862	0.3865420312
738	0.03448275862	0.3865053005
739	0.03448275862	0.3865050094
740	0.03448275862	0.3864459213
741	0.03448275862	0.386393324
742	0.03448275862	0.38627531
743	0.03448275862	0.3862750443
744	0.03448275862	0.3861065933
745	0.03448275862	0.386074217
746	0.03448275862	0.3859995626
747	0.03448275862	0.3859914677
748	0.03448275862	0.3859279236
749	0.03448275862	0.3858572466
750	0.03448275862	0.3856893042
751	0.03448275862	0.3856232039
752	0.03448275862	0.3856010406
753	0.03448275862	0.3855674685
754	0.03448275862	0.3854133153
