iter	Passed	Remaining
0	8	33243
1	16	32561
2	24	32137
3	25	25054
4	27	21821
5	29	19900
6	30	17582
7	32	16082
8	34	15294
9	41	16654
10	44	16169
11	45	15228
12	47	14532
13	49	14212
14	52	13841
15	54	13547
16	55	13034
17	56	12553
18	58	12294
19	61	12170
20	61	11728
21	64	11657
22	69	12033
23	70	11686
24	74	11890
25	76	11634
26	79	11635
27	80	11353
28	82	11319
29	84	11190
30	87	11149
31	88	10925
32	89	10758
33	90	10597
34	93	10598
35	95	10499
36	97	10412
37	99	10340
38	104	10568
39	105	10442
40	106	10293
41	107	10108
42	108	10018
43	110	9948
44	112	9893
45	114	9865
46	116	9756
47	118	9781
48	121	9796
49	122	9678
50	125	9753
51	128	9736
52	129	9653
53	132	9670
54	135	9691
55	137	9694
56	138	9599
57	141	9586
58	141	9470
59	142	9382
60	145	9395
61	147	9384
62	148	9284
63	150	9249
64	151	9185
65	154	9234
66	156	9195
67	159	9234
68	161	9177
69	162	9151
70	164	9088
71	166	9102
72	168	9064
73	170	9041
74	173	9064
75	175	9040
76	176	8995
77	177	8938
78	180	8946
79	183	9003
80	186	9010
81	189	9048
82	191	9037
83	193	9029
84	196	9034
85	197	8987
86	199	8960
87	202	8996
88	205	9013
89	209	9086
90	211	9075
91	213	9089
92	214	9019
93	217	9024
94	219	9021
95	222	9043
96	225	9073
97	228	9114
98	231	9102
99	233	9092
100	235	9088
101	238	9117
102	240	9084
103	241	9057
104	244	9069
105	246	9071
106	247	9018
107	249	8973
108	252	8996
109	254	9008
110	257	9017
111	260	9032
112	260	8977
113	262	8953
114	265	8952
115	267	8947
116	268	8900
117	269	8860
118	272	8884
119	274	8864
120	275	8821
121	277	8805
122	277	8753
123	280	8770
124	285	8841
125	287	8831
126	290	8867
127	293	8881
128	297	8922
129	300	8944
130	303	8957
131	305	8948
132	307	8939
133	311	8973
134	314	8992
135	316	8978
136	320	9041
137	323	9053
138	325	9043
139	326	8993
140	331	9066
141	335	9118
142	337	9098
143	339	9082
144	343	9131
145	346	9157
146	349	9152
147	350	9130
148	352	9121
149	355	9115
150	356	9095
151	359	9092
152	360	9060
153	362	9062
154	366	9091
155	370	9121
156	372	9107
157	373	9088
158	374	9054
159	377	9057
160	380	9070
161	382	9060
162	385	9078
163	387	9063
164	389	9053
165	392	9058
166	393	9033
167	396	9043
168	400	9068
169	402	9064
170	405	9072
171	410	9137
172	413	9152
173	415	9138
174	418	9147
175	421	9147
176	425	9186
177	427	9169
178	429	9162
179	431	9163
180	432	9128
181	435	9146
182	440	9195
183	442	9180
184	445	9186
185	448	9196
186	449	9168
187	457	9273
188	461	9299
189	463	9285
190	466	9294
191	467	9279
192	469	9265
193	474	9306
194	477	9318
195	481	9346
196	484	9347
197	486	9335
198	488	9333
199	491	9341
200	496	9375
201	498	9377
202	502	9390
203	506	9428
204	509	9440
205	514	9481
206	517	9486
207	522	9531
208	525	9530
209	527	9520
210	529	9516
211	533	9523
212	535	9527
213	536	9496
214	541	9539
215	544	9531
216	549	9571
217	551	9572
218	554	9569
219	556	9558
220	558	9545
221	560	9534
222	562	9522
223	564	9512
224	567	9514
225	568	9491
226	570	9475
227	572	9475
228	576	9492
229	580	9514
230	582	9501
231	583	9484
232	587	9492
233	591	9517
234	596	9556
235	598	9548
236	602	9569
237	605	9565
238	607	9565
239	610	9569
240	613	9565
241	615	9557
242	617	9540
243	619	9529
244	620	9515
245	624	9526
246	626	9523
247	628	9515
248	631	9516
249	633	9507
250	636	9503
251	640	9522
252	642	9513
253	644	9507
254	646	9501
255	649	9491
256	651	9481
257	652	9469
258	654	9456
259	656	9447
260	658	9439
261	660	9430
262	664	9437
263	666	9430
264	668	9420
265	670	9408
266	672	9398
267	674	9392
268	677	9400
269	680	9397
270	682	9385
271	684	9382
272	687	9381
273	689	9382
274	691	9370
275	694	9366
276	696	9361
277	698	9356
278	701	9353
279	705	9373
280	708	9375
281	710	9363
